,,Model,Accuracy,Precision,Recall,F1,ROC AUC,Metric,Value
Classification,0,Logistic Regression,0.8258426966292135,0.8135593220338984,0.7058823529411765,0.7559055118110236,0.8651069518716579,,
Classification,1,Decision Tree,0.7471910112359551,0.7346938775510204,0.5294117647058824,0.6153846153846154,0.8258689839572192,,
Classification,2,Random Forest,0.7921348314606742,0.7540983606557377,0.6764705882352942,0.7131782945736435,0.807620320855615,,
Regression,0,,,,,,,MAE,17.982721354678173
Regression,1,,,,,,,RMSE,40.51571809946797
Regression,2,,,,,,,R2,0.3847233597484313
Regression,3,,,,,,,Adjusted R2,0.35176211116352585
